id,name,state_id
1,Alegria-Dulantzi,1
2,Amurrio,1
3,Anana,1
4,Aramaio,1
5,Arminon,1
6,Arraia-Maeztu,1
7,Arrazua-Ubarrundia,1
8,Artziniega,1
9,Asparrena,1
10,Ayala/Aiara,1
11,Banos de Ebro/Manueta,1
12,Barrundia,1
13,Berantevilla,1
14,Bernedo,1
15,Campezo/Kanpezu,1
16,Elburgo/Burgelu,1
17,Elciego,1
18,Elvillar/Bilar,1
19,Erriberagoitia/Ribera Alta,1
20,Harana/Valle de Arana,1
21,Iruna Oka/Iruna de Oca,1
22,Iruraiz-Gauna,1
23,Kripan,1
24,Kuartango,1
25,Labastida/Bastida,1
26,Lagran,1
27,Laguardia,1
28,Lanciego/Lantziego,1
29,Lantaron,1
30,Lapuebla de Labarca,1
31,Laudio/Llodio,1
32,Legutio,1
33,Leza,1
34,Moreda de alava,1
35,Navaridas,1
36,Okondo,1
37,Oyon-Oion,1
38,Penacerrada-Urizaharra,1
39,Ribera Baja/Erribera Beitia,1
40,Salvatierra/Agurain,1
41,Samaniego,1
42,San Millan/Donemiliaga,1
43,Urkabustaiz,1
44,Valdegovia/Gaubea,1
45,Villabuena de alava/Eskuernaga,1
46,Vitoria-Gasteiz,1
47,Yecora/Iekora,1
48,Zalduondo,1
49,Zambrana,1
50,Zigoitia,1
51,Zuia,1
52,Abengibre,2
53,Alatoz,2
54,Albacete,2
55,Albatana,2
56,Alborea,2
57,Alcadozo,2
58,Alcala del Jucar,2
59,Alcaraz,2
60,Almansa,2
61,Alpera,2
62,Ayna,2
63,Balazote,2
64,El Ballestero,2
65,Balsa de Ves,2
66,Barrax,2
67,Bienservida,2
68,Bogarra,2
69,Bonete,2
70,El Bonillo,2
71,Carcelen,2
72,Casas de Juan Nunez,2
73,Casas de Lazaro,2
74,Casas de Ves,2
75,Casas-Ibanez,2
76,Caudete,2
77,Cenizate,2
78,Chinchilla de Monte-Aragon,2
79,Corral-Rubio,2
80,Cotillas,2
81,Elche de la Sierra,2
82,Ferez,2
83,Fuensanta,2
84,Fuente-alamo,2
85,Fuentealbilla,2
86,La Gineta,2
87,Golosalvo,2
88,Hellin,2
89,La Herrera,2
90,Higueruela,2
91,Hoya-Gonzalo,2
92,Jorquera,2
93,Letur,2
94,Lezuza,2
95,Lietor,2
96,Madrigueras,2
97,Mahora,2
98,Masegoso,2
99,Minaya,2
100,Molinicos,2
101,Montalvos,2
102,Montealegre del Castillo,2
103,Motilleja,2
104,Munera,2
105,Navas de Jorquera,2
106,Nerpio,2
107,Ontur,2
108,Ossa de Montiel,2
109,Paterna del Madera,2
110,Penas de San Pedro,2
111,Penascosa,2
112,Petrola,2
113,Povedilla,2
114,Pozo Canada,2
115,Pozohondo,2
116,Pozo-Lorente,2
117,Pozuelo,2
118,La Recueja,2
119,Riopar,2
120,Robledo,2
121,La Roda,2
122,Salobre,2
123,San Pedro,2
124,Socovos,2
125,Tarazona de la Mancha,2
126,Tobarra,2
127,Valdeganga,2
128,Vianos,2
129,Villa de Ves,2
130,Villalgordo del Jucar,2
131,Villamalea,2
132,Villapalacios,2
133,Villarrobledo,2
134,Villatoya,2
135,Villavaliente,2
136,Villaverde de Guadalimar,2
137,Viveros,2
138,Yeste,2
139,Adsubia,3
140,Agost,3
141,Agres,3
142,Aigues,3
143,Albatera,3
144,Alcalali,3
145,Alcocer de Planes,3
146,Alcoleja,3
147,Alcoy/Alcoi,3
148,Alfafara,3
149,L'Alfas del Pi,3
150,Algorfa,3
151,Alguena,3
152,Alicante/Alacant,3
153,Almoradi,3
154,Almudaina,3
155,L'Alqueria d'Asnar,3
156,Altea,3
157,Aspe,3
158,Balones,3
159,Banyeres de Mariola,3
160,Benasau,3
161,Beneixama,3
162,Benejuzar,3
163,Benferri,3
164,Beniarbeig,3
165,Beniarda,3
166,Beniarres,3
167,Benidoleig,3
168,Benidorm,3
169,Benifallim,3
170,Benifato,3
171,Benigembla,3
172,Benijofar,3
173,Benilloba,3
174,Benillup,3
175,Benimantell,3
176,Benimarfull,3
177,Benimassot,3
178,Benimeli,3
179,Benissa,3
180,Benitachell/El Poble Nou de Benitatxell,3
181,Biar,3
182,Bigastro,3
183,Bolulla,3
184,Busot,3
185,Callosa de Segura,3
186,Callosa d'En Sarria,3
187,Calp,3
188,El Campello,3
189,Campo de Mirra/El Camp de Mirra,3
190,Canada,3
191,Castalla,3
192,Castell de Castells,3
193,El Castell de Guadalest,3
194,Catral,3
195,Cocentaina,3
196,Confrides,3
197,Cox,3
198,Crevillent,3
199,Daya Nueva,3
200,Daya Vieja,3
201,Denia,3
202,Dolores,3
203,Elche/Elx,3
204,Elda,3
205,Facheca,3
206,Famorca,3
207,Finestrat,3
208,Fondo de les Neus/Hondon de las Nieves,3
209,Formentera del Segura,3
210,Gaianes,3
211,Gata de Gorgos,3
212,Gorga,3
213,Granja de Rocamora,3
214,Guardamar del Segura,3
215,Hondon de los Frailes,3
216,Ibi,3
217,Jacarilla,3
218,Javea/XAbia,3
219,Jijona/Xixona,3
220,Lliber,3
221,Lorcha/L'Orxa,3
222,Millena,3
223,Monforte del Cid,3
224,Monovar/MonOver,3
225,lOS Montesinos,3
226,Murla,3
227,Muro de Alcoy,3
228,Mutxamel,3
229,Novelda,3
230,La Nucia,3
231,Ondara,3
232,Onil,3
233,Orba,3
234,Orihuela,3
235,Orxeta,3
236,Parcent,3
237,Pedreguer,3
238,Pego,3
239,Penaguila,3
240,Petrer,3
241,Pilar de la Horadada,3
242,El Pinoso/Pinoso,3
243,Planes,3
244,Els Poblets,3
245,Polop,3
246,Quatretondeta,3
247,Rafal,3
248,El Rafol d'Almunia,3
249,Redovan,3
250,Relleu,3
251,Rojales,3
252,La Romana,3
253,Sagra,3
254,Salinas,3
255,San Fulgencio,3
256,San Isidro,3
257,San Miguel de Salinas,3
258,San Vicente del Raspeig/Sant Vicent del Raspeig,3
259,Sanet y Negrals,3
260,Sant Joan d'Alacant,3
261,Santa Pola,3
262,Sax,3
263,Sella,3
264,Senija,3
265,Tarbena,3
266,Teulada,3
267,Tibi,3
268,Tollos,3
269,Tormos,3
270,Torremanzanas/La Torre de les Masanes,3
271,Torrevieja,3
272,La Vall d'Alcala,3
273,Vall de Gallinera,3
274,La Vall de Laguar,3
275,La Vall d'Ebo,3
276,El Verger,3
277,Villajoyosa/La Vila Joiosa,3
278,Villena,3
279,Xalo,3
280,Abla,4
281,Abrucena,4
282,Adra,4
283,Albanchez,4
284,Alboloduy,4
285,Albox,4
286,Alcolea,4
287,Alcontar,4
288,Alcudia de Monteagud,4
289,Alhabia,4
290,Alhama de Almeria,4
291,Alicun,4
292,Almeria,4
293,Almocita,4
294,Alsodux,4
295,Antas,4
296,Arboleas,4
297,Armuna de Almanzora,4
298,Bacares,4
299,Bayarcal,4
300,Bayarque,4
301,Bedar,4
302,Beires,4
303,Benahadux,4
304,Benitagla,4
305,Benizalon,4
306,Bentarique,4
307,Berja,4
308,Canjayar,4
309,Cantoria,4
310,Carboneras,4
311,Castro de Filabres,4
312,Chercos,4
313,Chirivel,4
314,Cobdar,4
315,Cuevas del Almanzora,4
316,Dalias,4
317,El Ejido,4
318,Enix,4
319,Felix,4
320,Fines,4
321,Finana,4
322,Fondon,4
323,Gador,4
324,Los Gallardos,4
325,Garrucha,4
326,Gergal,4
327,Huecija,4
328,Huercal de Almeria,4
329,Huercal-Overa,4
330,Illar,4
331,Instincion,4
332,Laroya,4
333,Laujar de Andarax,4
334,Lijar,4
335,Lubrin,4
336,Lucainena de las Torres,4
337,Lucar,4
338,Macael,4
339,Maria,4
340,Mojacar,4
341,La Mojonera,4
342,Nacimiento,4
